id,name,category,cuisine,rating,phone_number,government,photo_url,maps,is_non_egypt_address
RST-00037,Felfela,Egyptian restaurant,Egyptian,3.6,+20223900784,Cairo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEBmc6zqW_tz1SY67De08wE1YiHn91QmMc_-o-jZNt2sWeuF6nUJL6dedwqYHh-78HWnQoNM2PMz5ZHZdQZaDfvv-T5eluns0hXGP9lPK-sBRQPwjckMiuN9Fgzrc-DO1C4wNI2FLbS53c=w408-h720-k-no,"https://www.google.com/maps/place/Felfela/@30.0466117,30.5790272,9z/data=!4m10!1m2!2m1!1sFelfela!3m6!1s0x14584184c933b19f:0x352d15d4c5e2448a!8m2!3d30.0466117!4d31.2382069!15sCgdGZWxmZWxhIgOIAQFaCSIHZmVsZmVsYZIBE2VneXB0aWFuX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tdz23f3?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",False
RST-00038,Fish Market Marina,Seafood restaurant,Seafood,4.1,+2034815512,Alexandria,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfK5bwXJHX1wzJJMl26voR1tTvqe0HnvFOpkzlXkwXsmJ6ESH_7-NV5Nh7WkPdvRIna3ELlBi7HMOrzOsuXveb4WgklkX6oKeW51YKClKYjQJOJd-3o9_vH-NaFDIuMYWgj7-1ykjMdtR8=w519-h240-k-no,https://www.google.com/maps/search/Fish+Market+Alexandria?hl=en,False
RST-00039,Geco Athens,Restaurant,Egyptian,4.8,+302103216001,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4oaEDA9UGaBh_fnqlJiZ4oGa1lRJHfuf5SiIog9ahhvYQcpuF6LVvEexl-a63eg1F4vyIeD9gHN8dFD5Tmlfew04wgF7j4Nkz7Gq5fkv8Q8hipHo55mSUIVguHz15m9wqZDb_jAS125J7=w425-h240-k-no,"https://www.google.com/maps/place/Geco+Athens/@37.9752401,23.7256095,15z/data=!3m1!5s0x14a1bd3c135f03c1:0x9921b9b3ff22db4a!4m10!1m2!2m1!1sAthens+Restaurant!3m6!1s0x14a1bdd3eececcc7:0x159d90db539a2b0c!8m2!3d37.97686!4d23.732026!15sChFBdGhlbnMgUmVzdGF1cmFudFoTIhFhdGhlbnMgcmVzdGF1cmFudJIBCnJlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjJiM00zVFMxM1JSQULgAQD6AQQIXBBF!16s%2Fg%2F11ssvdb4xd?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",True
RST-00040,Ginger Restaurant,Sushi restaurant,Sushi,4.2,0,Alexandria,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHr-GsCHpxko75r2gpcwJwaxOWunsWoQt1shC_j5PFFbCi5dNqRSHCIroWpXMAwh51_pItinjxTkp0NT4E3sUIKNa9c9IzdIrjOTy2-34dBqfFkt5aCTZ5Wq7VKSE6mbQbSqofcmA=w426-h240-k-no,https://www.google.com/maps/search/Ginger+Alexandria?hl=en,False
RST-00041,Gingko,Restaurant,Egyptian,4.7,+201202088781,Cairo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2DkejBzPsE3_743nviQuenGwPdlI3q42hJc-6kM_U0txVV7ZsaXAuXfOIerUVSNptLGfnoRZ0idnwFHcb74j6trVlf8B7xZoxiGiAfvxunSZwjBBPPEHltLkkbATr9pJphZmU=w408-h272-k-no,https://www.google.com/maps/search/Gingko?hl=en,False
RST-00042,Granada Restaurant & Pub Hurghada,Restaurant,Egyptian,4.6,+201025144220,Red Sea,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEtPqk6548m-14f5rlGMEU56QFgslbX-lckSEqgJSjquEFqj7XfZaE7OpC5Vs0vUn4Be-zNQiFcR_ALQhMIRdcBA6AQ5WlAc-SGiDZ8sWJ-ZUqR4eD80DN-k0t3by0FMiWauqr=w408-h272-k-no,https://www.google.com/maps/search/Granada+Restaurant+&+Pub+Hurghada?hl=en,False
RST-00043,Granita Cairo,Restaurant,Egyptian,4.2,+201012797522,Cairo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHCCOS_Bi4riMPOjDfR4h33haoLRvYb9Yc8ym9oyVC7TL3D2QQN6_BuuJFKjKsd1i_XpJMpA6fJDmNUOzHxYU5Peh_9lBivNDLPE4BfrTjwSnygz1ath2bXLc-CeL1n-QVgOPHn=w408-h409-k-no,"https://www.google.com/maps/place/Granita+Cairo/@30.0388525,31.1340118,12z/data=!4m10!1m2!2m1!1sGranita!3m6!1s0x145841d99aea3e19:0x1cd83b95ac60ca40!8m2!3d30.0581554!4d31.2239147!15sCgdHcmFuaXRhWgkiB2dyYW5pdGGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11j0ysnkb6?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",False
RST-00044,Hard Rock Cafe Sharm el Sheikh,American restaurant,American,4.3,+201097022750,South Sinai,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGCXwnua-4xEzx8tHFamQanwp1jMO8JYGeP-zn_Mel01tgS__R9rdFkx8XG3WyaAqod6Ln5jTGk5hN2kB_0W9CLh85l1GuUs6542_XnX-ZpJ2n-Ye2DHqS1emx8JK28YuyOfY0=w673-h240-k-no,https://www.google.com/maps/search/Hard+Rock+Cafe+Sharm+El+Sheikh?hl=en,False
RST-00045,Jeeda's,Restaurant,Egyptian,4.5,+2034966951,Alexandria,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFg1NAEXNsMK8HkIH1I2O05z1HmqISoge7GjOTVzEDYpsz_dVxqIwuEKo01s_YEXM_I3pT83NVps0aT2DPnuhEIQ0akjY1LQXKAyd5Pyan0FtgXd-7O_I9mR6ujb-v_PXQ8zuJc=w408-h545-k-no,https://www.google.com/maps/search/Jeeda's?hl=en,False
RST-00046,Kadoura,Seafood restaurant,Seafood,3.8,+2034800967,Alexandria,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzC-e3VCPkfPzIiARfsu8fpRLL6DopHyCWEyWPtWxnXTvkUrwMz343bgR1Hk0CPfE7lnpm5pOplBjc0lKgJJKEjSx7mZyjb0_ZUQ9luS4_fXtzGrdzhpmXwzidhil8tfNBpiDw=w426-h240-k-no,"https://www.google.com/maps/place/Kadoura/@31.2022214,29.2279197,9z/data=!4m10!1m2!2m1!1sKadoura!3m6!1s0x14f5c3ee0499be65:0x34a5981f04e2de13!8m2!3d31.2022214!4d29.8870994!15sCgdLYWRvdXJhWgkiB2thZG91cmGSARJzZWFmb29kX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1wcj_t9p?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",False
