id,name,government,rating,photo_url,maps_url
BCH-00011,El Mamurah Beach,Alexandria,4.2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAERhP89E471sTXp76N5C94u6oDxsTtbv-h3oNQ4GVeinGcTY1Kyy375PvOmkLYG1vGaIL_I-JSYA_H8CxyfN41vG1xqh0qNGKyLtBXCYpJx9W6H0JMG9jXl2aW8JGkU7KoiZn6o=w408-h305-k-no,"https://www.google.com/maps/place/El+Mamurah+Beach/@31.2908176,29.9894692,13z/data=!4m10!1m2!2m1!1sMamoura+Beach,+Alexandria!3m6!1s0x14f5d0dc8232f1b5:0xca05b625c94574ea!8m2!3d31.2908176!4d30.0306679!15sChlNYW1vdXJhIEJlYWNoLCBBbGV4YW5kcmlhWhoiGG1hbW91cmEgYmVhY2ggYWxleGFuZHJpYZIBDHB1YmxpY19iZWFjaOABAA!16s%2Fm%2F0k56brk?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00012,El Montazah Beach,Alexandria,4.2,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLY6DY9PDvQlIj8Q2IAGNrHOrM5EVjlsdZAKcogSjTpE8Yga2limKWp0RB5bOpApMMHuZ01n4c9ll_aZBckOgo01mZ_NwJXVMtfbiIN-cSlLhKBWYcG-4e8i-PgxPeQINIyCzsTQ=w408-h276-k-no,"https://www.google.com/maps/place/El+Montazah+Beach/@31.2823393,30.011602,15z/data=!3m1!4b1!4m6!3m5!1s0x14f5d0667d5de5eb:0xcb2424b3663ae7ae!8m2!3d31.2823398!4d30.011602!16s%2Fg%2F1v70ywjf?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00013,Fjord Bay Taba,South Sinai,4.8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHH2VAzPWowRkocOC5ZO-wnoBhkEVrciqjj_g_4N55PTssAsYG1nuu9FqVV10_8OyHpCaFm4eYRiSXvpHVOqoXfZWyaux09XUnXvQw_amoM-lzwk5-IBEPWqsZKVSBWbL7gfGu9BQ=w426-h240-k-no,"https://www.google.com/maps/search/Fjord+Bay,+Taba?hl=en"
BCH-00014,Hacienda White - Palm Hills Developments,Alexandria,4.5,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE_c_EYugBkA_6kS-l42KivTiea135ENRVq7r1eCYk9gFQECJcmaiILQNQX2ONNH3QZa4tf7zamsycOlQr-e9H5_beqP325qNG3Hy8k4QQ-nVDwMtTv_z09i6V6CRlEPyXRvwk=w426-h240-k-no,"https://www.google.com/maps/place/Hacienda+White+-+Palm+Hills+Developments/@30.9954216,28.6199848,13z/data=!4m10!1m2!2m1!1sHacienda+White+Beach,+North+Coast!3m6!1s0x146007680666ee6d:0x7da122293368bbaf!8m2!3d30.9954216!4d28.6611835!15sCiFIYWNpZW5kYSBXaGl0ZSBCZWFjaCwgTm9ydGggQ29hc3RaIiIgaGFjaWVuZGEgd2hpdGUgYmVhY2ggbm9ydGggY29hc3SSAQViZWFjaJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSd2Iwc3ljMlJuRUFF4AEA-gEECB8QPQ!16s%2Fg%2F11c1tk_l_s?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00015,Hamata Port,Red Sea,4.3,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEDev-2eW2AS5fL3UPbwPsqrglHqI2ZtGsWbSaN-mziBexjiVelb1p2m_5cxw-YGTf2fzNkjsexGN1cGlvbTrdWzTo3Cb6znHR2OwIwbbqHut8KRe-CEr0gojuPhalQfaaUyWrXDeVMt98I=w408-h306-k-no,"https://www.google.com/maps/search/Hamata+Islands,+Marsa+Alam?hl=en"
BCH-00016,Jazā'ir Jiftūn,,4.7,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGb_4QT_2jCt7CJB-hNhosI8W3thbFpjnbey-t8-tbaWaqaug0TYmHLnLyruP-erwhLCXJVtXJw4ZUgxKXI7f6-fBhhMP8JH_wNisT2qJ3dLn2jjoxsSiWPizjI_N1yh4TPso7-=w408-h272-k-no,"https://www.google.com/maps/place/Jaz%C4%81'ir+Jift%C5%ABn/@27.2112111,33.901957,13z/data=!4m10!1m2!2m1!1sGiftun+Island+National+Park,+Hurghada!3m6!1s0x14528588e3d03b2b:0xf3372517e415a003!8m2!3d27.2428469!4d33.9136675!15sCiVHaWZ0dW4gSXNsYW5kIE5hdGlvbmFsIFBhcmssIEh1cmdoYWRhWiYiJGdpZnR1biBpc2xhbmQgbmF0aW9uYWwgcGFyayBodXJnaGFkYZIBBmlzbGFuZJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMXdWMWRZY0hwV2JsSjZVakkxZFUwd1JYbFVWbkJRV0RKV2JsVXlZeEFC4AEA-gEECHQQLA!16s%2Fg%2F120mc09w?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00017,Laguna Beach Dahab,South Sinai,4.7,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-vGJr30bO0IF-H3apsN6g-7zbzYxnB41NlxBsCLXkNiWkYh-WZYL86oII0aDFDktV9VlXIXYPTtUYssciHNP1KvYQlqmD1IqL3GuzjN_Gqb7spfzes4EqG_diyl-XUHo_fLTl=w408-h306-k-no,"https://www.google.com/maps/search/Laguna+Beach,+Dahab?hl=en"
BCH-00018,Lighthouse Divecenter,South Sinai,4.5,https://lh3.googleusercontent.com/gps-cs-s/APNQkAElo5V363ONPlxa57PQz2JqIJnt88C03tQlH91Gb1CU2fscexxXGJrQeGBA92e8qHKmyw_hf0TWYih0uTcWft4Syn3nZDHbnDY341dYjHQnnDjNmAew2NYsYvuw6GxXtJ732DK7=w408-h306-k-no,"https://www.google.com/maps/search/Lighthouse+Dive+Site,+Dahab?hl=en"
BCH-00019,Magic lake camp,Faiyum,4.6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGo4XVWqA53a7GnHLOkbd6P0HHRfkDA5-AkLzFl47R5VN9bv9t5dBoML_Mdydxyy3zkwVNZxs46-tFne0IeQ1VyjuTqok6zKZtlXEaPa764I7PqwWQQEJGtUHXsLGa6TXp3RjzokA=w426-h240-k-no,"https://www.google.com/maps/place/Magic+lake+camp/@29.1630879,30.180086,11z/data=!4m10!1m2!2m1!1sMagic+Lake,+Wadi+El+Rayan,+Fayoum!3m6!1s0x145bef06e193c6d7:0xaaad8439663dc602!8m2!3d29.1630879!4d30.3448809!15sCiFNYWdpYyBMYWtlLCBXYWRpIEVsIFJheWFuLCBGYXlvdW1aISIfbWFnaWMgbGFrZSB3YWRpIGVsIHJheWFuIGZheW91bZIBCmNhbXBncm91bmSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlNlbkZNU0dSUkVBReABAPoBBAg8EDM!16s%2Fg%2F11gy3mnhm8?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
BCH-00020,Mahmya Island,Red Sea,4.7,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-qHp5rCTNH6H0a7ULv1MTWWKqZoASVpvYDvq9jgYJRPxX9N6Biy3unKzy0dMK-ArWYqAJpnbRXy3ntDmLS3kLKhLcnmIATVfsY-gc_CKMtjk91_Zw_UYh7ujVolZY1qzNZ7E1=w408-h305-k-no,"https://www.google.com/maps/search/Mahmya+Island,+Hurghada?hl=en"
