restaurant_key,governorate_key,cuisine_key,name,category,rating,phone_number,photo_url,maps
RST-00067,9,11,Neama,Egyptian restaurant,4.2,+20233365555,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGRheaJebOQ9TZfjpmbfD3QBTZE0ui1AZ4qEW2-Heb4uC541FtUV-jPC2aLbr4W58WaqCv4eqmKJtWUIEavvCYmdrbF7C7tsqFllOGpv7XesZcYw_uGsnvMxd8D0N4Wv31jMmvon_msf0M=w408-h306-k-no,https://www.google.com/maps/search/Neama?hl=en
RST-00068,2,11,Nubian Dreams Restaurant & Cafe,Restaurant,4.7,+201115543346,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGR6t6NCKjbzdCl001wATu55VXINGb0LJIdwj7Zcdl4_HKc7j1xWk_gmEWf7awCNDugJto6Rxer7-TgvKSblHOZ5-Zu0UeZK980cB3ChU_wayVbXbNxFlsUq0e8EBbdXSOjE0yQtIXp7rHj=w426-h240-k-no,https://www.google.com/maps/search/Nubian+Dreams+Restaurant+&+Cafe?hl=en
RST-00069,15,11,Oriental Nile View أورينتال نايل فيو,Restaurant,4.2,+201050585958,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHie9BZs77FYAyuL01Bc2WqjKvoT44gUCFQOBgMyfXwnlb7g_NXoxMOTdMLbTjtT_2magqzVE20lLc2wD524brrIIT_E24zl_em31pR92HctQX9QA9HkGL9P4tUb30ZuFEWKNywzg=w408-h408-k-no,"https://www.google.com/maps/place/Oriental+Nile+View+%D8%A3%D9%88%D8%B1%D9%8A%D9%86%D8%AA%D8%A7%D9%84+%D9%86%D8%A7%D9%8A%D9%84+%D9%81%D9%8A%D9%88%E2%80%AD/@30.4738279,28.5403755,7z/data=!4m10!1m2!2m1!1sNile+View+Restaurant!3m6!1s0x14f7dfb559927167:0x36b40436e0d7742e!8m2!3d30.4738279!4d31.1770942!15sChROaWxlIFZpZXcgUmVzdGF1cmFudFoWIhRuaWxlIHZpZXcgcmVzdGF1cmFudJIBCnJlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmZiV1ZwUzBKQkVBReABAPoBBAgAECo!16s%2Fg%2F11y2sdylrp?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00070,6,32,Osmanly Restaurant,Turkish restaurant,4.2,+20227980000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHF5BoLVI6LFa0KnQRfet6GSOizIryA1NCLR5eb77apg4bDgCWdOxbFzXhk1zNI2Py-rJp3STQwv5lfRm46mHh0upisojzx0p2Ei0fOsCXOIIokryB56q_XOouy0B9NZmAcTvOe=w408-h272-k-no,"https://www.google.com/maps/place/Osmanly+Restaurant/@30.0386357,31.230671,17z/data=!3m1!4b1!4m6!3m5!1s0x145840cdc7e28511:0x9f649c9eb3c03a92!8m2!3d30.0386357!4d31.230671!16s%2Fg%2F1tgfsxvy?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00071,9,11,PAVONE Restaurant & Cafe,Restaurant,4.2,+201062289492,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKI3usDd06yaPR0EeGMPtpFxIeNPWhIq8_j8yljM-lZ0tNx5s_ujNd7sCjTuNpDPYbQ7yH_gRCwMqKBPH9mYTwPZyirJDFn32YvBUTsZDkwUZYl3_BMugxVHScWebdtCGfHlTyxqdbCP8=w408-h612-k-no,https://www.google.com/maps/search/PAVONE+Restaurant+&+Cafe?hl=en
RST-00072,2,11,Panorama Restaurant & Bar,Restaurant,4.3,+20972454455,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHHHJsMfW0t6l38Yyw2J9xfiu6zH7EgXJ5_hPrQhPNcgGN7i5oh63RgI3BwG8hFLSH4NEDX5TH2SYpFAfrtigm5H7YYYyUZHKWaQKaiBThE2iszgDcGKwt6LvyL92w10YPDMzI=w408-h306-k-no,https://www.google.com/maps/search/Panorama+Restaurant+Aswan?hl=en
RST-00073,6,17,Pier88 Nile River,Italian restaurant,4.4,+201080888876,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-NnNstOBbGVdK70PtU-ARMbs__vAY3S2qSiNOFo3lgrVN4dJXNiDDHt4irLChFSR-RzUCiJ7q277QJWNZVr4rJZ6p9oXQQr5u_DaNHJxZsqimY5xo6A4wuBw0OjoyKYAKqGbouA=w408-h272-k-no,https://www.google.com/maps/search/Pier+88?hl=en
RST-00074,20,2,Ralph's German Bakery.Dahab,Bakery,4.5,+20693652715,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGjHBwh6EFahK81oOdpEKWhCOz5nP5ROO1PdModd7XmMzyLEwAcJumDruq1ZDf51TC1zFkFqXh-6hIFR3sU79w8rQ1bNTRw7YrUq58dpZoqtDfeWqQprgUbhp7bl4NtICSaVk1E_ttX7mU=w426-h240-k-no,"https://www.google.com/maps/place/Ralph's+German+Bakery.Dahab/@28.4998654,34.5139733,16z/data=!4m10!1m2!2m1!1sRalph's+German+Bakery+Dahab!3m6!1s0x15ab4b29aa802105:0x49a015566313a0dc!8m2!3d28.4998654!4d34.5191231!15sChtSYWxwaCdzIEdlcm1hbiBCYWtlcnkgRGFoYWJaHSIbcmFscGgncyBnZXJtYW4gYmFrZXJ5IGRhaGFikgEGYmFrZXJ54AEA!16s%2Fg%2F11c5698l32?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00075,11,21,Restaurant El-Kababgy Luxor,Meat dish restaurant,4.6,+201008598314,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQP6yYTof41gG91AmKs7LHicdshJzU73BRE9FQjmnXXLl-c7_iCp9wEsdrNiNfbD_NIOBdYRO-Uov9shqZhqty398wi16rYEmQ20WQkFlLwyoFx5JGL3hGF2ea_wqQxHxmJEOA=w408-h463-k-no,"https://www.google.com/maps/place/Restaurant+El-Kababgy+Luxor/@25.6967828,32.6362213,17z/data=!3m1!4b1!4m6!3m5!1s0x144915f3342b52cf:0xb15b9bf77f31c95!8m2!3d25.6967828!4d32.6362213!16s%2Fg%2F11s4_4dm31?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00076,6,15,SACHI Heliopolis,Fine dining restaurant,4.6,+201280902028,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFk6JqOF77jF4cuUSCfeZth8IbZLxsFb_bXQH8c4rYnY7Kh6hMnHYCMRmnCe92jh1QYOIMypv4vPIGmYi7xPuF8eEJphPkM5LlSyYB-yQlwwUWa-jds6_IlTPSyKapduk8tQ5s=w408-h272-k-no,https://www.google.com/maps/search/Sachi?hl=en
RST-00077,1,11,Santa Lucia,Restaurant,4.5,+201282223630,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQ9cf8PZxuLqN_aIEIQK4YsuIWO09mVuLPrlfhL9UrMw-IUvzibB0SX6VpVwWmxCsZhAaZ1RdNCpvv6wzcPj3v3Q0qRAz3XG68rJtcKFARHm92gz4hlpl-qbik6I14Y5J2pcAv=w426-h240-k-no,https://www.google.com/maps/search/Santa+Lucia?hl=en
